question,common-grounds,sentiment,sentence-en,sentence-es
,,,"If you like tuna and tomato sauce, try combining the two",
,,,It’s really not as bad as it sounds,
,,,I will never be this young again,
,,,I just got older,
,,,Malls are great places to shop,
,,,I can find everything I need under one roof,
,,,He didn’t want to go to the dentist,
,,,Yet he went anyway,
,,,I am happy to take your donation,
,,,Any amount will be greatly appreciated,
,,,There was no ice cream in the freezer,
,,,They did not have money to go to the store,
,,,What was the person thinking when they discovered cow’s milk was fine for human consumption?,
,,,She did not cheat on the test,
,,,It was not the right thing to do,
,,,Should we start class now?,
,,,Should we wait for everyone to get here?,
,,,Lets all be unique together until we realize we are all the same,
,,,How was the math test?,
,,,The river stole the gods,
,,,Cats are good pets,
,,,They are clean and are not noisy,
,,,Please wait outside of the house,
,,,She wrote him a long letter,
,,,He didn’t read it,
,,,The stranger officiates the meal,
,,,He ran out of money,
,,,He had to stop playing poker,
,,,Does that work?,
,,,Abstraction is often one floor above you,
,,,I’d rather be a bird than a fish,
,,,don’t step on the broken glass,
,,,"We have never been to Asia, nor have we visited Africa",
,,,"It was getting dark, and we weren’t there yet",
,,,The old apple revels in its authority,
,,,She advised him to come back at one,
,,,Is it free?,
,,,A purple pig and a green donkey flew a kite in the middle of the night and ended up sunburnt,
,,,Writing a list of random sentences is harder that I initially thought it would be,
,,,I would have gotten the promotion,
,,,My attendance wasn’t good enough,
,,,Sometimes it is better to just walk away from things and go back to them later when you’re in a better frame of mind,
,,,He said he was not there yesterday,
,,,Many people saw him there,
,,,If the Easter Bunny and the Tooth Fairy had babies would they take your teeth and leave chocolate for you?,
,,,A song can make or ruin a person’s day if they let it get to them,
,,,I think I will buy the red car,
,,,I will lease the blue one,
,,,She always speaks to him in a loud voice,
,,,I checked to make sure that he was still alive,
,,,Wednesday in hump day,
,,,Has anyone asked the camel if he’s happy about it?,
,,,She borrowed the book from him many years ago,
,,,He hasn’t yet returned it,
,,,I am counting my calories,
,,,I really want dessert,
,,,Last Friday in three week’s time I saw a spotted striped blue worm shake hands with a legless lizard,
,,,We need to rent a room for our party,
,,,I often see the time 11:11 or 12:34 on clocks,
